,ISO3,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,Country,income_group,CDD_ssp1_rcp26_2100_diff,CDD_ssp2_rcp45_2100_diff,CDD_ssp5_rcp60_2100_diff,exposure_times_cdd,ac_adoption,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60,gdp_const_ssp1_rcp26_custom_exp_cdd,gdp_const_ssp2_rcp45_custom_exp_cdd,gdp_const_ssp5_rcp60_custom_exp_cdd
0,AFG,531.81565,2019,2002.0,1280.46317065778,2079.92186098824,0.028946838096623573,693.0,910.5,1052.0,Afghanistan,low,161.18435,378.68435,520.18435,521.9348703891948,0.018579332162950046,0.02524384582282435,0.031354958945482014,0.033298480707117495,0.04486681692544181,0.044926669739061786,0.04489761584835694
1,ALB,302.2432,2019,1990.0,4827.02770509029,13653.182207385,0.036503638229296476,463.0,704.5,760.5,Albania,upper middle,160.7568,402.2568,458.2568,242.46015686029662,0.19779781030542087,0.010267466476054699,0.014371307173312253,0.014849139606362582,0.02032144024184812,0.02088302388217933,0.0209141900171792
2,DZA,772.45418,2019,1990.0,8828.87447349486,11627.2799177398,0.009539228872294636,905.5,1185.5,1273.0,Algeria,lower middle,133.04582000000005,413.04582000000005,500.54582000000005,637.3645472985639,0.17488368397648646,0.005423662782392924,0.01028655597618533,0.011152175759108873,0.0229595047523401,0.022885266554993455,0.02285061940269295
3,AGO,1148.39249,2019,1990.0,5793.08451204045,6602.26921128365,0.00451874886480752,830.0,1352.5,1564.0,Angola,lower middle,-318.39248999999995,204.10751000000005,415.60751000000005,1048.2106135511297,0.087236617551261,,0.00919373301741011,0.013099003823259237,0.030130602376389648,0.029988711624131525,0.029896279409421744
4,ARG,416.67692,2019,1990.0,14136.5254005803,22071.7480998394,0.01548195098552263,474.5,685.5,818.0,Argentina,upper middle,57.823080000000004,268.82308,401.32308,274.9988999969034,0.3400188808228126,0.002524128980083473,0.0069183407240926975,0.008203963928462565,0.014345852441435936,0.014832066889871376,0.014893918758225322
5,ARM,162.90892,2019,1990.0,5153.29821050756,14317.5528692827,0.03586433388488164,166.0,379.0,541.0,Armenia,upper middle,3.091080000000005,216.09108,378.09108000000003,130.52318365031945,0.19879658124110422,0.0008237229341627739,0.0156726093606514,0.017613749327617834,0.010739963032974975,0.019090372275277767,0.020026389007892664
6,AUS,370.5748,2019,1990.0,31006.100226642,49379.093333787,0.016175749235966208,377.0,506.5,616.5,Australia,high,6.425200000000018,135.92520000000002,245.92520000000002,131.6687475249483,0.6446904983151895,0.00013121265782767288,0.0018436784371598236,0.002547632214158213,0.003611578052423736,0.0044444301505994765,0.004712817339545872
7,AUT,86.59656,2019,1990.0,37494.5604129864,55806.4382499366,0.013808026955007158,222.5,335.5,389.0,Austria,high,135.90344,248.90344,302.40344,42.32078441559362,0.5112879262687383,0.012111183746744691,0.009243339968439734,0.00857897662478524,,0.001563990417115635,0.002216983594172106
8,AZE,429.42212,2019,1990.0,7616.91027506113,14442.0408668016,0.022306271771311392,568.5,888.5,1003.5,Azerbaijan,upper middle,139.07788,459.07788,574.07788,336.46667543904886,0.21646636312295964,0.007109211739033894,0.012205723861252737,0.013028120810338661,0.019987197487068897,0.02022627765109486,0.02020931666096537
9,BHS,1691.63235,2019,1990.0,35674.4556311246,33862.9446487499,-0.0017954058375363458,1985.0,2281.5,2440.0,Bahamas,high,293.3676499999999,589.8676499999999,748.3676499999999,665.8844127075374,0.6063657610310318,0.001027095794732702,0.0017347959824234316,0.00202666908912974,0.00914110516375266,0.009027008596044661,0.008969769543133221
10,BGD,1913.63113,2019,1990.0,1730.36894499325,5467.20752090206,0.04046748275006595,2312.5,2986.0,3063.5,Bangladesh,lower middle,398.86887,1072.36887,1149.86887,1781.0626456007726,0.06927588202394441,0.011361822770906027,0.016980810311762573,0.017356293633134623,0.03198921494685103,0.03175968537569962,0.031735936825943334
11,BLR,42.62421,2019,1990.0,8895.17217109963,19288.0406878264,0.027048184288959165,162.5,288.0,297.5,Belarus,upper middle,119.87579,245.37579,254.87579,32.58785183229954,0.23546144709076033,0.02306825898530329,0.02786228668265789,0.02818390662634007,0.006612121609356647,0.013840380889303061,0.01406728371485455
12,BEL,52.37055,2019,1990.0,35506.9265146541,51987.7139145095,0.013234382792935762,107.5,177.0,258.0,Belgium,high,55.12945,124.62944999999999,205.62945,29.122258293139804,0.443919181808482,0.008072771506125287,0.011204851988085851,0.014293035198637893,,,0.0006309077447141931
