,ISO3,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,Country,income_group,CDD_ssp1_rcp26_2100_diff,CDD_ssp2_rcp45_2100_diff,CDD_ssp5_rcp60_2100_diff,exposure_times_cdd,ac_adoption,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60,gdp_const_ssp1_rcp26_custom_exp_cdd,gdp_const_ssp2_rcp45_custom_exp_cdd,gdp_const_ssp5_rcp60_custom_exp_cdd
0,AFG,876.75506,2019,2002.0,1280.46317065778,2079.92186098824,0.028946838096623573,1078.0,1346.0,1526.0,Afghanistan,low,201.24494000000004,469.24494000000004,649.24494,872.0424763198245,0.005375028779617708,0.024840410733048435,0.02920202627759383,0.03054504138531189,0.039100808064280956,0.038812164050650466,0.03863244886973205
1,ALB,630.35247,2019,1990.0,4827.02770509029,13653.182207385,0.036503638229296476,828.0,1119.0,1189.0,Albania,upper middle,197.64752999999996,488.64752999999996,558.64753,540.008806772467,0.143322454542826,0.0066488231462074054,0.009417033630192417,0.009749722199732691,0.01548344420581671,0.015196652543008726,0.015121874717192396
2,DZA,1231.21753,2019,1990.0,8828.87447349486,11627.2799177398,0.009539228872294636,1407.0,1750.0,1855.0,Algeria,lower middle,175.7824700000001,518.7824700000001,623.7824700000001,1078.1935933827622,0.12428667793353931,0.004336995825712675,0.00767695953007741,0.008240197483309508,0.01691197751181961,0.01659770051831022,0.01651129487557812
3,AGO,2169.94281,2019,1990.0,5793.08451204045,6602.26921128365,0.00451874886480752,1758.0,2389.0,2630.0,Angola,lower middle,-411.94281,219.05719,460.05719,2066.0700320586907,0.04786890118145981,,0.0067927475500655365,0.009784411701797113,0.02371867609753897,0.023255692912276915,0.02310973647009873
4,ARG,850.95843,2019,1990.0,14136.5254005803,22071.7480998394,0.01548195098552263,932.0,1217.0,1383.0,Argentina,upper middle,81.04156999999998,366.04157,532.04157,575.7569072173306,0.3234018408897711,0.0012062499808800364,0.0033660306023950426,0.003972417648663962,0.009388538493878773,0.009090567020030749,0.008920706822799884
5,ARM,367.0943,2019,1990.0,5153.29821050756,14317.5528692827,0.03586433388488164,371.0,677.0,874.0,Armenia,upper middle,3.9057000000000244,309.9057,506.9057,316.5604912609523,0.13765893052288658,0.0005135174256756248,0.010965630906015322,0.012002734265662562,0.012861844248866161,0.014939063845228695,0.014850451041489299
6,AUS,790.79296,2019,1990.0,31006.100226642,49379.093333787,0.016175749235966208,777.0,963.0,1128.0,Australia,high,-13.792959999999994,172.20704,337.20704,175.73332204541367,0.7777758137282689,1.7768914001070613e-05,,,,,
7,AUT,247.14882,2019,1990.0,37494.5604129864,55806.4382499366,0.013808026955007158,446.0,609.0,689.0,Austria,high,198.85118,361.85118,441.85118,130.32633035469178,0.4726807501864999,0.0013764238756062142,0.0005517524284790465,0.00021941324202501278,,,
8,AZE,793.054,2019,1990.0,7616.91027506113,14442.0408668016,0.022306271771311392,951.0,1344.0,1470.0,Azerbaijan,upper middle,157.94600000000003,550.946,676.946,662.4624884564772,0.1646691291431892,0.00444976149627152,0.007983023788986188,0.008473196723177923,0.014669272510925202,0.014256963135675704,0.01413257868689266
9,BHS,2783.32722,2019,1990.0,35674.4556311246,33862.9446487499,-0.0017954058375363458,3061.0,3365.0,3521.0,Bahamas,high,277.6727799999999,581.6727799999999,737.6727799999999,564.473710932302,0.7971946284733629,0.01358276677539938,0.01358276677539938,0.01358276677539938,0.01358276677539938,0.01358276677539938,0.01358276677539938
10,BGD,2874.67348,2019,1990.0,1730.36894499325,5467.20752090206,0.04046748275006595,3335.0,4068.0,4142.0,Bangladesh,lower middle,460.3265200000001,1193.32652,1267.32652,2775.6190085311787,0.034457642635928654,0.010179506446614583,0.014172403484745466,0.014402568811906713,0.03666035837026982,0.03666035837026982,0.03666035837026982
11,BLR,166.58561,2019,1990.0,8895.17217109963,19288.0406878264,0.027048184288959165,357.0,551.0,577.0,Belarus,upper middle,190.41439,384.41439,410.41439,138.54867503171857,0.16830346251564843,0.014035193116046951,0.013608594767695825,0.013510812252541582,0.008765186758351362,0.011030851400884556,0.01110027859257956
12,BEL,149.1616,2019,1990.0,35506.9265146541,51987.7139145095,0.013234382792935762,293.0,405.0,540.0,Belgium,high,143.8384,255.8384,390.8384,99.98889316322894,0.32966062871926194,0.007073678633718439,0.005887192719195022,0.003530489146752691,,,
13,BLZ,3131.04039,2019,1990.0,6396.50071946363,9028.55148483032,0.011955065049643165,3189.0,3519.0,3760.0,Belize,upper middle,57.959609999999884,387.9596099999999,628.9596099999999,2847.818435960444,0.09045618029844582,0.0010682617242603332,0.004718367916812127,0.006216532096626315,0.03026027435958345,0.03026027435958345,0.03026027435958345
14,BEN,3506.26079,2019,1990.0,2109.55933453942,3156.43895692884,0.01399234783954717,3942.0,4424.0,4679.0,Benin,lower middle,435.7392100000002,917.7392100000002,1172.7392100000002,3462.9902808817337,0.012340927189921302,0.014757883683548023,0.01840247187691313,0.019509456142597026,0.04371464537455294,0.04371464537455294,0.04371464537455294
15,BTN,688.24217,2019,1990.0,2737.99305333418,11797.2841991497,0.0516570258362683,1464.0,1674.0,1555.0,Bhutan,lower middle,775.75783,985.75783,866.75783,609.2021733880408,0.11484329216845157,0.011596386299827621,0.012055438712877287,0.011822063741576905,0.0166740317553149,0.01648083890788432,0.016587971881883545
16,BIH,329.4622,2019,1994.0,1730.12267827479,14851.6485875733,0.08980277801797243,546.0,827.0,861.0,Bosnia and Herzegovina,upper middle,216.5378,497.5378,531.5378000000001,282.7244517692045,0.141860730095275,0.010316582483839376,0.012193738129338216,0.012272031600238709,0.014282347230954118,0.014429909630207405,0.014402853912334646
17,BWA,1902.74742,2019,1990.0,9164.87250835745,15117.9906741015,0.01740867427431203,1964.0,2515.0,2700.0,Botswana,upper middle,61.25258000000008,612.2525800000001,797.2525800000001,1493.744623351901,0.21495380435102562,0.0007092492819793517,0.004103692903168588,0.004690842827486108,0.013137002109720797,0.012765836345593584,0.012659217767245101
18,BRA,2195.74083,2019,1990.0,10401.8424448513,14685.1278924674,0.011962443979586235,2224.0,2646.0,2890.0,Brazil,upper middle,28.259169999999813,450.2591699999998,694.2591699999998,1733.551509879275,0.2104935672762095,0.00030206444043345826,0.003162449718827398,0.004086572407134836,0.013314073991300468,0.013052804537122764,0.012920521342146607
19,BRN,3447.11289,2019,1990.0,70358.7240942878,61424.3643132688,-0.00467181902705871,3543.0,3884.0,4028.0,Brunei Darussalam,high,95.88711000000012,436.8871100000001,580.8871100000001,0.30786935044265756,0.9999106877667582,0.006158564821605372,0.006158564821605372,0.006158564821605372,0.006158564821605372,0.006158564821605372,0.006158564821605372
