,ISO3,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,Country,income_group,CDD_ssp1_rcp26_2100_diff,CDD_ssp2_rcp45_2100_diff,CDD_ssp5_rcp60_2100_diff,exposure_times_cdd,ac_adoption,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60,gdp_const_ssp1_rcp26_custom_exp_cdd,gdp_const_ssp2_rcp45_custom_exp_cdd,gdp_const_ssp5_rcp60_custom_exp_cdd
0,AFG,876.75506,2019,2002.0,1280.46317065778,2079.92186098824,0.028946838096623573,1078.0,1346.0,1526.0,Afghanistan,low,201.24494000000004,469.24494000000004,649.24494,858.8701280448412,0.02039900625741331,0.01955280527917158,0.024612063736642487,0.026215538345088163,0.03704046344514511,0.036560123338432504,0.03629278961058979
1,ALB,630.35247,2019,1990.0,4827.02770509029,13653.182207385,0.036503638229296476,828.0,1119.0,1189.0,Albania,upper middle,197.64752999999996,488.64752999999996,558.64753,458.8257110211238,0.27211245635140635,0.0046412727459796965,0.006965146270345723,0.007251809600209436,0.013778650927366964,0.01314832355782225,0.013019691476231277
2,DZA,1231.21753,2019,1990.0,8828.87447349486,11627.2799177398,0.009539228872294636,1407.0,1750.0,1855.0,Algeria,lower middle,175.7824700000001,518.7824700000001,623.7824700000001,915.675633204928,0.2562844413002079,0.002627112227738815,0.005173238539032843,0.0056419647493213265,0.014675556421960279,0.014226416113957363,0.014109050518480215
3,AGO,2169.94281,2019,1990.0,5793.08451204045,6602.26921128365,0.00451874886480752,1758.0,2389.0,2630.0,Angola,lower middle,-411.94281,219.05719,460.05719,1900.8926799567832,0.12398950276630416,,0.003993651468569892,0.006412917494690973,0.02132825642464531,0.020720402075669497,0.02053705090668312
4,ARG,850.95843,2019,1990.0,14136.5254005803,22071.7480998394,0.01548195098552263,932.0,1217.0,1383.0,Argentina,upper middle,81.04156999999998,366.04157,532.04157,424.62551503649024,0.5010032217008646,0.000690120623949575,0.001979225594298528,0.0023361763202531804,0.0075423183355025625,0.006981346442147096,0.006713935620909384
5,ARM,367.0943,2019,1990.0,5153.29821050756,14317.5528692827,0.03586433388488164,371.0,677.0,874.0,Armenia,upper middle,3.9057000000000244,309.9057,506.9057,274.4577489094147,0.25235082944787013,0.00032830942936068475,0.008766344503296386,0.009646504291103586,0.01315551846710128,0.013564725180314152,0.013073818754278044
6,AUS,790.79296,2019,1990.0,31006.100226642,49379.093333787,0.016175749235966208,777.0,963.0,1128.0,Australia,high,-13.792959999999994,172.20704,337.20704,105.91267918447457,0.8660677515585438,8.278989052312724e-05,,,,,
7,AUT,247.14882,2019,1990.0,37494.5604129864,55806.4382499366,0.013808026955007158,446.0,609.0,689.0,Austria,high,198.85118,361.85118,441.85118,129.636766203398,0.4754708268346254,,,,,,
8,AZE,793.054,2019,1990.0,7616.91027506113,14442.0408668016,0.022306271771311392,951.0,1344.0,1470.0,Azerbaijan,upper middle,157.94600000000003,550.946,676.946,549.5456885563694,0.30705136276171685,0.002882923912062685,0.00563483477197102,0.006036948625573801,0.012789856108730957,0.012059250556772705,0.011872431616730017
9,BHS,2783.32722,2019,1990.0,35674.4556311246,33862.9446487499,-0.0017954058375363458,3061.0,3365.0,3521.0,Bahamas,high,277.6727799999999,581.6727799999999,737.6727799999999,161.24149219199268,0.9420687977204517,0.012027037337597912,0.012050990858574862,0.012060316355172018,0.012041251309097722,0.012063857059085636,0.012072585539688374
10,BGD,2874.67348,2019,1990.0,1730.36894499325,5467.20752090206,0.04046748275006595,3335.0,4068.0,4142.0,Bangladesh,lower middle,460.3265200000001,1193.32652,1267.32652,2599.1923237907968,0.09583041626320743,0.006522204139562948,0.010282857763501907,0.010515467327011585,0.03510492428870249,0.035136066902524465,0.035137772870700745
11,BLR,166.58561,2019,1990.0,8895.17217109963,19288.0406878264,0.027048184288959165,357.0,551.0,577.0,Belarus,upper middle,190.41439,384.41439,410.41439,122.71862282703763,0.26332999094557064,0.016739666009508714,0.01254457286339683,0.012301311492846745,0.009169600112084453,0.010118714873673662,0.010073397786036553
12,BEL,149.1616,2019,1990.0,35506.9265146541,51987.7139145095,0.013234382792935762,293.0,405.0,540.0,Belgium,high,143.8384,255.8384,390.8384,101.78904291376664,0.3175921757760265,0.0021950104083299227,0.005992110815432161,0.0021461851726307657,,,
13,BLZ,3131.04039,2019,1990.0,6396.50071946363,9028.55148483032,0.011955065049643165,3189.0,3519.0,3760.0,Belize,upper middle,57.959609999999884,387.9596099999999,628.9596099999999,2472.818779989997,0.21022456692422387,0.0005106903414862085,0.0026622239288902616,0.0037293115562146983,0.02870408847939032,0.02872515127932984,0.028735894906776194
14,BEN,3506.26079,2019,1990.0,2109.55933453942,3156.43895692884,0.01399234783954717,3942.0,4424.0,4679.0,Benin,lower middle,435.7392100000002,917.7392100000002,1172.7392100000002,3361.3014092985322,0.04134301165358201,0.00993561083205119,0.013685984083534164,0.014888182580635734,0.04217654534224535,0.042186551926493454,0.04218901558383603
15,BTN,688.24217,2019,1990.0,2737.99305333418,11797.2841991497,0.0516570258362683,1464.0,1674.0,1555.0,Bhutan,lower middle,775.75783,985.75783,866.75783,528.4301267168365,0.2322032131265126,0.008823468352479491,0.00924235339394519,0.009029654592702219,0.014410950945368928,0.014134870987433157,0.01428607329038245
16,BIH,329.4622,2019,1994.0,1730.12267827479,14851.6485875733,0.08980277801797243,546.0,827.0,861.0,Bosnia and Herzegovina,upper middle,216.5378,497.5378,531.5378000000001,245.39101679932295,0.25517702243437046,0.008342679449838908,0.009922691770389402,0.009976474326882867,0.013390913415941563,0.012728580384227639,0.012646632704241156
17,BWA,1902.74742,2019,1990.0,9164.87250835745,15117.9906741015,0.01740867427431203,1964.0,2515.0,2700.0,Botswana,upper middle,61.25258000000008,612.2525800000001,797.2525800000001,1142.547754944469,0.3995273660944083,0.0003634790646029895,0.0023882823946628218,0.002783577514431812,0.010714027572565676,0.010236152857821201,0.010103133435043654
18,BRA,2195.74083,2019,1990.0,10401.8424448513,14685.1278924674,0.011962443979586235,2224.0,2646.0,2890.0,Brazil,upper middle,28.259169999999813,450.2591699999998,694.2591699999998,1323.6856516656537,0.3971576091402128,0.00014947267445730716,0.001757115932660147,0.0023491432130362533,0.010833445325532987,0.010503152956205408,0.02251714324808307
19,BRN,3447.11289,2019,1990.0,70358.7240942878,61424.3643132688,-0.00467181902705871,3543.0,3884.0,4028.0,Brunei Darussalam,high,95.88711000000012,436.8871100000001,580.8871100000001,0.000382231259889096,0.9999998891155375,0.00522411642429832,0.005187110609596868,0.005172449042918581,0.00466054884454703,0.004674076227489499,0.00467813239105852
20,BGR,420.92849,2019,1990.0,12507.7284145491,23266.0693152803,0.021632359652777877,677.0,942.0,1017.0,Bulgaria,upper middle,256.07151,521.07151,596.07151,244.94169223061562,0.4180919133541766,0.0038855048225032718,0.004488342242587651,0.004523376998822881,0.007507641969346279,0.006864828715057447,0.0067044480965638975
21,BFA,3993.88824,2019,1990.0,981.844761883421,2110.06231119074,0.026731724132555312,4311.0,4870.0,5211.0,Burkina Faso,low,317.1117599999998,876.1117599999998,1217.1117599999998,3905.230902988457,0.022198251849817274,0.01135289989152155,0.017083531197587876,0.01886123062765077,0.04737949492754412,0.04738449153097224,0.04738435998287338
22,BDI,1078.00996,2019,1990.0,1175.15508588164,729.658462620426,-0.016299455680501507,1396.0,2213.0,2368.0,Burundi,low,317.9900399999999,1134.99004,1289.99004,1073.456355650326,0.004224083745639984,0.03357742504166317,0.0403238933579102,0.04078194775417354,0.04997305911792704,0.049009694578024066,0.048874642318112116
23,KHM,3877.86749,2019,1993.0,1716.84095776483,4464.29444969141,0.03743862702703882,3952.0,4405.0,4655.0,Cambodia,lower middle,74.13250999999991,527.1325099999999,777.1325099999999,3599.530948545242,0.07177567108017868,0.001685665460189778,0.007203608390600413,0.008833184157058582,0.03772603148030251,0.03773545865893402,0.03773800011040862
24,CMR,2657.92843,2019,1990.0,3483.1868621115,3756.50956165869,0.002608312242317501,2908.0,3500.0,3725.0,Cameroon,lower middle,250.07157000000007,842.0715700000001,1067.07157,2516.5231912990466,0.05320129658305106,0.007359012751126048,0.013115048738006063,0.014216989900307953,0.0398751850799306,0.03992157253434625,0.03993206595052201
25,CAN,160.29738,2019,1990.0,34562.8663465938,49175.6770500696,0.012233509242049578,335.0,579.0,582.0,Canada,high,174.70262,418.70262,421.70262,105.40580962803038,0.34243585498384077,0.004270821346081588,0.0019060198559932573,0.0018665266734338992,,,
26,CAF,3003.84314,2019,1990.0,1200.61339024031,861.766788755873,-0.011369465805149415,3082.0,3761.0,4007.0,Central African Republic,low,78.15686000000005,757.15686,1003.15686,2987.2280935386684,0.00553126301439677,0.013832561533114962,0.02901129953108872,0.030672676579313052,0.058966326985524065,0.05900819819821934,0.0590163189019004
27,TCD,3748.54714,2019,1990.0,1027.24442257679,1561.99667256928,0.014556131166957309,4108.0,4595.0,4976.0,Chad,low,359.4528599999999,846.4528599999999,1227.4528599999999,3696.497992630809,0.013885152147023794,0.01564550351673777,0.020831757286341235,0.022919538140836915,0.05127161658844215,0.05127913871293388,0.05128082593851713
28,CHL,175.72575,2019,1990.0,9701.82379080639,24809.8609735994,0.03290663500243607,106.0,190.0,241.0,Chile,high,-69.72575,14.274249999999995,65.27425,120.46748912093985,0.31445739101446524,,0.0031742394637612747,0.009548286966405195,,,
29,COL,1429.38555,2019,1990.0,8434.95933574977,14616.1351241706,0.019137408971884096,1874.0,2185.0,2252.0,Colombia,upper middle,444.61445000000003,755.61445,822.61445,917.8051064157974,0.3579023473297338,0.0028578626745234814,0.0038032008209449852,0.0039532059031328615,0.011228549919511055,0.010926472181685964,0.010868058295942618
30,COM,2996.85716,2019,1990.0,2922.71225211885,3290.65052676586,0.004097102514684092,2580.0,2909.0,3119.0,Comoros,lower middle,-416.85716,-87.85716000000002,122.14283999999998,2865.9478489216126,0.04368219908031501,,,0.0048949628590702066,0.029384720435139178,0.04157651018419095,0.04159680235994445
31,CRI,1304.31538,2019,1990.0,9810.55130671056,20818.061678299,0.026282996861516583,2417.0,2878.0,3065.0,Costa Rica,upper middle,1112.68462,1573.68462,1760.68462,608.5435083895659,0.5334383710252915,0.002173772552879205,0.00237307323846081,0.002421275589675531,0.006328768595921019,0.01811981035822119,0.01813839106665527
32,CIV,3121.59607,2019,1990.0,4351.47678203302,5132.34156942981,0.0057074923588851245,3554.0,4067.0,4280.0,Cote d'Ivoire,lower middle,432.40392999999995,945.40393,1158.40393,2848.2135237124126,0.08757780960673356,0.006377857259879383,0.009523761005326481,0.010351375422056552,0.03592551654689613,0.03594408503888302,0.03594850171674557
33,HRV,521.68235,2019,1995.0,15083.558943419,29347.5161917663,0.028121592509674054,772.0,1077.0,1117.0,Croatia,high,250.31764999999996,555.31765,595.31765,237.66811929893416,0.5444198576031293,0.0015992484843339039,0.001816287417947482,0.0018098277651779071,0.004384017431046772,0.0037022263781902875,0.0036255878886490844
34,CYP,1570.97282,2019,1990.0,25232.609375,41739.46484375,0.017506995788090896,1660.0,1881.0,2007.0,Cyprus,high,89.02718000000004,310.02718000000004,436.02718000000004,90.34327390063267,0.9424921470629691,,,,,,
35,CZE,247.12542,2019,1990.0,23585.1814938054,40989.7266228223,0.019241495776139983,389.0,524.0,620.0,Czechia,high,141.87458,276.87458000000004,372.87458000000004,134.2594869853398,0.45671518945586487,0.0037131837450714578,0.002512538301772338,0.001903517132464394,0.00033770855926462673,0.0007947239570051945,0.0006253813758236859
36,COD,2184.36589,2019,1990.0,1750.16973868902,1059.89211136718,-0.01714598327980532,2589.0,3266.0,3506.0,DR Congo,low,404.63410999999996,1081.63411,1321.63411,2167.882826906758,0.007545925876567328,0.024906445806292643,0.030713268910073976,0.03169942683129068,0.04387676169929633,0.05627924290490771,0.056294339330396514
37,DNK,62.27477,2019,1990.0,39027.9787365148,56813.9641554635,0.013032584827722182,126.0,207.0,287.0,Denmark,high,63.72523,144.72523,224.72523,54.37758215863889,0.12681199531304743,,,0.0008870956027406951,,,
38,DJI,3816.20573,2019,2013.0,3664.26803619943,4768.11300470727,0.04486428412866439,4081.0,4573.0,4828.0,Djibouti,lower middle,264.79426999999987,756.7942699999999,1011.7942699999999,3512.747735555105,0.07951824820641817,0.004328613608025389,0.00821241208331669,0.009423092335896222,0.0368863026909132,0.036894180562154766,0.036895721359863076
39,DOM,2698.51589,2019,1990.0,6207.11211279231,18171.0609627655,0.037733617687016,2765.0,3118.0,3346.0,Dominican Republic,upper middle,66.48410999999987,419.4841099999999,647.4841099999999,1217.8882363383552,0.5486822068191137,0.0001395361048519561,0.0007292512197560885,0.0010111233911467288,0.007767800111013745,0.01985374915400495,0.01987040516427685
40,ECU,1383.03963,2019,1990.0,8120.00116107894,11390.2169659569,0.011738169239754681,2776.0,2561.0,2608.0,Ecuador,upper middle,1392.96037,1177.96037,1224.96037,1030.3724133882672,0.25499429586969447,0.007147510966124315,0.006803874785223929,0.006886754703163689,0.013588364903831529,0.01373928875145558,0.013705032628777758
41,EGY,2169.35584,2019,1990.0,6291.70540537498,11780.9620965028,0.021865014051010823,2193.0,2562.0,2847.0,Egypt,lower middle,23.64415999999983,392.64415999999983,677.6441599999998,1536.0941747137415,0.2919123057682683,0.00020574542761475634,0.0024861923155801158,0.003549698963315695,0.013614279019559028,0.01331649895756315,0.01311960184791916
42,SLV,3111.70808,2019,1990.0,5191.97145510929,9023.0265751173,0.019240212363084153,2927.0,3454.0,3534.0,El Salvador,lower middle,-184.70807999999988,342.2919200000001,422.2919200000001,2458.806306894993,0.20982102315491202,,0.0024398771611331416,0.0028542083984004485,0.028688078306688736,0.028729417132098423,0.028733683261523035
43,GNQ,2531.12831,2019,1990.0,936.419750712983,16240.3698101562,0.10338851798872883,2733.0,3212.0,3407.0,Equatorial Guinea,upper middle,201.87168999999994,680.87169,875.87169,1344.6079116759906,0.46877133554877326,0.000598576729214706,0.0015616239332363335,0.001836728020227385,0.009187902774236756,0.021276493674648345,0.021289480916981907
44,EST,59.12205,2019,1995.0,12730.7174142214,36153.4319482746,0.044449293580959504,171.0,278.0,331.0,Estonia,high,111.87795,218.87795,271.87795,48.11084763457036,0.18624527338665764,0.002191535626240748,0.00617600981910571,0.008013435572466143,,,0.0006811558898893733
45,ETH,988.72931,2019,1990.0,767.170418557348,2181.65887703263,0.03669630738675922,1146.0,1814.0,1982.0,Ethiopia,low,157.27068999999995,825.27069,993.27069,966.9548436789773,0.02202267708744543,0.01648213146418165,0.025847210211414007,0.026576997441988937,0.03629649976263871,0.03532183936953648,0.03514133101285344
46,FJI,2627.50087,2019,1990.0,7889.87858590517,13241.3539504487,0.018014267380145776,2302.0,2662.0,2885.0,Fiji,upper middle,-325.50086999999985,34.49913000000015,257.49913000000015,1686.5014682734327,0.35813476313960924,,0.00017755367820848633,0.00113768961361993,0.012059273487487143,0.011783781553740491,0.023823858867392245
