ISO3,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,Country,income_group,CDD_ssp1_rcp26_2100_diff,CDD_ssp2_rcp45_2100_diff,CDD_ssp5_rcp60_2100_diff
AFG,876.75506,2019,2002.0,1280.46317065778,2079.92186098824,0.028946838096623573,1078.0,1346.0,1526.0,Afghanistan,low,201.24494000000004,469.24494000000004,649.24494
ALA,22.37274,2019,,,,,,,,Aland Islands,,,,
ALB,630.35247,2019,1990.0,4827.02770509029,13653.182207385,0.036503638229296476,828.0,1119.0,1189.0,Albania,upper middle,197.64752999999996,488.64752999999996,558.64753
DZA,1231.21753,2019,1990.0,8828.87447349486,11627.2799177398,0.009539228872294636,1407.0,1750.0,1855.0,Algeria,lower middle,175.7824700000001,518.7824700000001,623.7824700000001
ASM,3369.90188,2019,1990.0,,,,,,,American Samoa,upper middle,,,
AGO,2169.94281,2019,1990.0,5793.08451204045,6602.26921128365,0.00451874886480752,1758.0,2389.0,2630.0,Angola,lower middle,-411.94281,219.05719,460.05719
AIA,3053.58847,2019,,,,,,,,Anguilla,,,,
ATG,3051.24304,2019,1990.0,15264.3519217204,22908.6392551795,0.014098246654787427,,,,Antigua and Barbuda,high,,,
ARG,850.95843,2019,1990.0,14136.5254005803,22071.7480998394,0.01548195098552263,932.0,1217.0,1383.0,Argentina,upper middle,81.04156999999998,366.04157,532.04157
ARM,367.0943,2019,1990.0,5153.29821050756,14317.5528692827,0.03586433388488164,371.0,677.0,874.0,Armenia,upper middle,3.9057000000000244,309.9057,506.9057
ABW,3232.42202,2019,1990.0,30823.482503317,40780.5164846798,0.0096994136072166,,,,Aruba,high,,,
AUS,790.79296,2019,1990.0,31006.100226642,49379.093333787,0.016175749235966208,777.0,963.0,1128.0,Australia,high,-13.792959999999994,172.20704,337.20704
AUT,247.14882,2019,1990.0,37494.5604129864,55806.4382499366,0.013808026955007158,446.0,609.0,689.0,Austria,high,198.85118,361.85118,441.85118
AZE,793.054,2019,1990.0,7616.91027506113,14442.0408668016,0.022306271771311392,951.0,1344.0,1470.0,Azerbaijan,upper middle,157.94600000000003,550.946,676.946
BHS,2783.32722,2019,1990.0,35674.4556311246,33862.9446487499,-0.0017954058375363458,3061.0,3365.0,3521.0,Bahamas,high,277.6727799999999,581.6727799999999,737.6727799999999
BHR,3219.93,2019,1990.0,36997.7356016117,49768.9762142136,0.010277806196675066,,,,Bahrain,high,,,
BGD,2874.67348,2019,1990.0,1730.36894499325,5467.20752090206,0.04046748275006595,3335.0,4068.0,4142.0,Bangladesh,lower middle,460.3265200000001,1193.32652,1267.32652
BRB,3126.98589,2019,1990.0,14097.395549571,15954.802664829,0.004277045524265777,,,,Barbados,high,,,
BLR,166.58561,2019,1990.0,8895.17217109963,19288.0406878264,0.027048184288959165,357.0,551.0,577.0,Belarus,upper middle,190.41439,384.41439,410.41439
BEL,149.1616,2019,1990.0,35506.9265146541,51987.7139145095,0.013234382792935762,293.0,405.0,540.0,Belgium,high,143.8384,255.8384,390.8384
BLZ,3131.04039,2019,1990.0,6396.50071946363,9028.55148483032,0.011955065049643165,3189.0,3519.0,3760.0,Belize,upper middle,57.959609999999884,387.9596099999999,628.9596099999999
BEN,3506.26079,2019,1990.0,2109.55933453942,3156.43895692884,0.01399234783954717,3942.0,4424.0,4679.0,Benin,lower middle,435.7392100000002,917.7392100000002,1172.7392100000002
BMU,1657.21581,2019,1990.0,65961.4062780667,81681.7266682559,0.007398284638131969,,,,Bermuda,high,,,
