ISO,NAME,data,rcp,regnum,ssp,stat,tslice,year,value
ABW,Aruba,CDD,rcp26,1,SSP1,mean,future,2020,
ABW,Aruba,CDD,rcp26,1,SSP1,PopWeightAv,future,2020,
AFG,Afghanistan,CDD,rcp26,2,SSP1,mean,future,2020,849.0
AFG,Afghanistan,CDD,rcp26,2,SSP1,PopWeightAv,future,2020,611.5
AGO,Angola,CDD,rcp26,3,SSP1,mean,future,2020,900.0
AGO,Angola,CDD,rcp26,3,SSP1,PopWeightAv,future,2020,779.0
ALB,Albania,CDD,rcp26,4,SSP1,mean,future,2020,270.5
ALB,Albania,CDD,rcp26,4,SSP1,PopWeightAv,future,2020,336.5
ARE,United Arab Emirates,CDD,rcp26,5,SSP1,mean,future,2020,2861.0
ARE,United Arab Emirates,CDD,rcp26,5,SSP1,PopWeightAv,future,2020,2795.0
ARG,Argentina,CDD,rcp26,6,SSP1,mean,future,2020,386.0
ARG,Argentina,CDD,rcp26,6,SSP1,PopWeightAv,future,2020,456.5
ARM,Armenia,CDD,rcp26,7,SSP1,mean,future,2020,119.0
ARM,Armenia,CDD,rcp26,7,SSP1,PopWeightAv,future,2020,139.5
AUS,Australia,CDD,rcp26,8,SSP1,mean,future,2020,1470.5
AUS,Australia,CDD,rcp26,8,SSP1,PopWeightAv,future,2020,368.0
AUT,Austria,CDD,rcp26,9,SSP1,mean,future,2020,68.0
AUT,Austria,CDD,rcp26,9,SSP1,PopWeightAv,future,2020,120.5
AZE,Azerbaijan,CDD,rcp26,10,SSP1,mean,future,2020,487.5
AZE,Azerbaijan,CDD,rcp26,10,SSP1,PopWeightAv,future,2020,556.5
BDI,Burundi,CDD,rcp26,11,SSP1,mean,future,2020,460.0
BDI,Burundi,CDD,rcp26,11,SSP1,PopWeightAv,future,2020,432.0
BEL,Belgium,CDD,rcp26,12,SSP1,mean,future,2020,63.0
BEL,Belgium,CDD,rcp26,12,SSP1,PopWeightAv,future,2020,59.5
BEN,Benin,CDD,rcp26,13,SSP1,mean,future,2020,2830.0
BEN,Benin,CDD,rcp26,13,SSP1,PopWeightAv,future,2020,2759.0
BFA,Burkina Faso,CDD,rcp26,14,SSP1,mean,future,2020,3172.0
BFA,Burkina Faso,CDD,rcp26,14,SSP1,PopWeightAv,future,2020,3161.5
BGD,Bangladesh,CDD,rcp26,15,SSP1,mean,future,2020,2105.0
BGD,Bangladesh,CDD,rcp26,15,SSP1,PopWeightAv,future,2020,2119.0
BGR,Bulgaria,CDD,rcp26,16,SSP1,mean,future,2020,268.0
BGR,Bulgaria,CDD,rcp26,16,SSP1,PopWeightAv,future,2020,270.5
BHR,Bahrain,CDD,rcp26,17,SSP1,mean,future,2020,
BHR,Bahrain,CDD,rcp26,17,SSP1,PopWeightAv,future,2020,
BHS,Bahamas,CDD,rcp26,18,SSP1,mean,future,2020,1630.0
BHS,Bahamas,CDD,rcp26,18,SSP1,PopWeightAv,future,2020,1898.0
BIH,Bosnia and Herzegovina,CDD,rcp26,19,SSP1,mean,future,2020,178.5
BIH,Bosnia and Herzegovina,CDD,rcp26,19,SSP1,PopWeightAv,future,2020,181.0
BLR,Belarus,CDD,rcp26,20,SSP1,mean,future,2020,110.0
BLR,Belarus,CDD,rcp26,20,SSP1,PopWeightAv,future,2020,112.5
BLZ,Belize,CDD,rcp26,21,SSP1,mean,future,2020,2004.0
BLZ,Belize,CDD,rcp26,21,SSP1,PopWeightAv,future,2020,2026.5
BOL,Bolivia,CDD,rcp26,22,SSP1,mean,future,2020,1355.0
BOL,Bolivia,CDD,rcp26,22,SSP1,PopWeightAv,future,2020,1225.5
BRA,Brazil,CDD,rcp26,23,SSP1,mean,future,2020,2082.0
BRA,Brazil,CDD,rcp26,23,SSP1,PopWeightAv,future,2020,1285.0
BRB,Barbados,CDD,rcp26,24,SSP1,mean,future,2020,
BRB,Barbados,CDD,rcp26,24,SSP1,PopWeightAv,future,2020,
BRN,Brunei Darussalam,CDD,rcp26,25,SSP1,mean,future,2020,2218.5
BRN,Brunei Darussalam,CDD,rcp26,25,SSP1,PopWeightAv,future,2020,2347.0
BTN,Bhutan,CDD,rcp26,26,SSP1,mean,future,2020,107.0
BTN,Bhutan,CDD,rcp26,26,SSP1,PopWeightAv,future,2020,726.0
BWA,Botswana,CDD,rcp26,27,SSP1,mean,future,2020,1369.5
BWA,Botswana,CDD,rcp26,27,SSP1,PopWeightAv,future,2020,1227.5
CAF,Central African Republic,CDD,rcp26,28,SSP1,mean,future,2020,1939.5
CAF,Central African Republic,CDD,rcp26,28,SSP1,PopWeightAv,future,2020,1852.5
CAN,Canada,CDD,rcp26,29,SSP1,mean,future,2020,15.5
CAN,Canada,CDD,rcp26,29,SSP1,PopWeightAv,future,2020,99.0
CHE,Switzerland,CDD,rcp26,30,SSP1,mean,future,2020,33.5
CHE,Switzerland,CDD,rcp26,30,SSP1,PopWeightAv,future,2020,64.5
CHL,Chile,CDD,rcp26,31,SSP1,mean,future,2020,2.5
CHL,Chile,CDD,rcp26,31,SSP1,PopWeightAv,future,2020,16.0
CHN,China,CDD,rcp26,32,SSP1,mean,future,2020,321.5
CHN,China,CDD,rcp26,32,SSP1,PopWeightAv,future,2020,690.0
CIV,Cote d'Ivoire,CDD,rcp26,33,SSP1,mean,future,2020,2386.0
CIV,Cote d'Ivoire,CDD,rcp26,33,SSP1,PopWeightAv,future,2020,2375.5
CMR,Cameroon,CDD,rcp26,34,SSP1,mean,future,2020,1762.5
CMR,Cameroon,CDD,rcp26,34,SSP1,PopWeightAv,future,2020,1738.5
COD,Dem. Rep. of the Congo,CDD,rcp26,35,SSP1,mean,future,2020,1645.0
COD,Dem. Rep. of the Congo,CDD,rcp26,35,SSP1,PopWeightAv,future,2020,1457.5
COG,Congo,CDD,rcp26,36,SSP1,mean,future,2020,1766.5
COG,Congo,CDD,rcp26,36,SSP1,PopWeightAv,future,2020,1893.5
COL,Colombia,CDD,rcp26,37,SSP1,mean,future,2020,1845.5
COL,Colombia,CDD,rcp26,37,SSP1,PopWeightAv,future,2020,1348.0
COM,Comoros,CDD,rcp26,38,SSP1,mean,future,2020,1458.5
COM,Comoros,CDD,rcp26,38,SSP1,PopWeightAv,future,2020,1458.5
CPV,Cape Verde,CDD,rcp26,39,SSP1,mean,future,2020,
CPV,Cape Verde,CDD,rcp26,39,SSP1,PopWeightAv,future,2020,
CRI,Costa Rica,CDD,rcp26,40,SSP1,mean,future,2020,1757.5
CRI,Costa Rica,CDD,rcp26,40,SSP1,PopWeightAv,future,2020,1402.0
CUB,Cuba,CDD,rcp26,41,SSP1,mean,future,2020,1991.5
CUB,Cuba,CDD,rcp26,41,SSP1,PopWeightAv,future,2020,1979.5
CYP,Cyprus,CDD,rcp26,42,SSP1,mean,future,2020,888.0
CYP,Cyprus,CDD,rcp26,42,SSP1,PopWeightAv,future,2020,945.5
CZE,Czech Republic,CDD,rcp26,43,SSP1,mean,future,2020,88.5
CZE,Czech Republic,CDD,rcp26,43,SSP1,PopWeightAv,future,2020,95.0
DEU,Germany,CDD,rcp26,44,SSP1,mean,future,2020,79.5
DEU,Germany,CDD,rcp26,44,SSP1,PopWeightAv,future,2020,88.0
DJI,Djibouti,CDD,rcp26,45,SSP1,mean,future,2020,2965.5
DJI,Djibouti,CDD,rcp26,45,SSP1,PopWeightAv,future,2020,2855.5
DNK,Denmark,CDD,rcp26,46,SSP1,mean,future,2020,21.0
DNK,Denmark,CDD,rcp26,46,SSP1,PopWeightAv,future,2020,21.0
DOM,Dominican Republic,CDD,rcp26,47,SSP1,mean,future,2020,1596.0
DOM,Dominican Republic,CDD,rcp26,47,SSP1,PopWeightAv,future,2020,1585.5
DZA,Algeria,CDD,rcp26,48,SSP1,mean,future,2020,2139.0
DZA,Algeria,CDD,rcp26,48,SSP1,PopWeightAv,future,2020,822.5
ECU,Ecuador,CDD,rcp26,49,SSP1,mean,future,2020,1164.0
ECU,Ecuador,CDD,rcp26,49,SSP1,PopWeightAv,future,2020,1709.0
EGY,Egypt,CDD,rcp26,50,SSP1,mean,future,2020,1773.0
EGY,Egypt,CDD,rcp26,50,SSP1,PopWeightAv,future,2020,1326.0
ERI,Eritrea,CDD,rcp26,51,SSP1,mean,future,2020,2468.0
ERI,Eritrea,CDD,rcp26,51,SSP1,PopWeightAv,future,2020,1558.0
ESP,Spain,CDD,rcp26,52,SSP1,mean,future,2020,370.5
ESP,Spain,CDD,rcp26,52,SSP1,PopWeightAv,future,2020,420.0
EST,Estonia,CDD,rcp26,53,SSP1,mean,future,2020,41.0
EST,Estonia,CDD,rcp26,53,SSP1,PopWeightAv,future,2020,38.0
ETH,Ethiopia,CDD,rcp26,54,SSP1,mean,future,2020,1327.5
ETH,Ethiopia,CDD,rcp26,54,SSP1,PopWeightAv,future,2020,501.0
FIN,Finland,CDD,rcp26,55,SSP1,mean,future,2020,12.0
FIN,Finland,CDD,rcp26,55,SSP1,PopWeightAv,future,2020,19.0
FJI,Fiji,CDD,rcp26,56,SSP1,mean,future,2020,1330.0
FJI,Fiji,CDD,rcp26,56,SSP1,PopWeightAv,future,2020,1173.0
FRA,France,CDD,rcp26,57,SSP1,mean,future,2020,132.5
FRA,France,CDD,rcp26,57,SSP1,PopWeightAv,future,2020,149.5
GAB,Gabon,CDD,rcp26,58,SSP1,mean,future,2020,1909.5
GAB,Gabon,CDD,rcp26,58,SSP1,PopWeightAv,future,2020,2039.5
GBR,United Kingdom,CDD,rcp26,59,SSP1,mean,future,2020,6.5
GBR,United Kingdom,CDD,rcp26,59,SSP1,PopWeightAv,future,2020,13.0
GEO,Georgia,CDD,rcp26,60,SSP1,mean,future,2020,136.5
GEO,Georgia,CDD,rcp26,60,SSP1,PopWeightAv,future,2020,210.0
GHA,Ghana,CDD,rcp26,61,SSP1,mean,future,2020,2757.5
GHA,Ghana,CDD,rcp26,61,SSP1,PopWeightAv,future,2020,2675.0
GIN,Guinea,CDD,rcp26,62,SSP1,mean,future,2020,2167.0
GIN,Guinea,CDD,rcp26,62,SSP1,PopWeightAv,future,2020,2067.0
GMB,Gambia,CDD,rcp26,63,SSP1,mean,future,2020,2676.0
GMB,Gambia,CDD,rcp26,63,SSP1,PopWeightAv,future,2020,2550.5
GNB,Guinea-Bissau,CDD,rcp26,64,SSP1,mean,future,2020,2485.0
GNB,Guinea-Bissau,CDD,rcp26,64,SSP1,PopWeightAv,future,2020,2501.0
GNQ,Equatorial Guinea,CDD,rcp26,65,SSP1,mean,future,2020,1566.0
GNQ,Equatorial Guinea,CDD,rcp26,65,SSP1,PopWeightAv,future,2020,1544.5
GRC,Greece,CDD,rcp26,66,SSP1,mean,future,2020,423.5
GRC,Greece,CDD,rcp26,66,SSP1,PopWeightAv,future,2020,493.5
GTM,Guatemala,CDD,rcp26,67,SSP1,mean,future,2020,1585.0
