,ISO3,Country,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,exposure_times_cdd,ac_adoption,income_group,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60
0,AFG,Afghanistan,876.75506,2019,2002,1280.46317065778,2079.92186098824,0.028946838096623573,1078.0,1346.0,1526.0,861.8091261929251,0.017046874878686058,low,0.024185437481395455,0.03029921807710645,0.03237713911915385
1,ALB,Albania,630.35247,2019,1990,4827.02770509029,13653.182207385,0.036503638229296476,828.0,1119.0,1189.0,527.3915830823337,0.1633385951794023,upper middle,0.00812051530028124,0.012197493182598995,0.012774864067077951
2,DZA,Algeria,1231.21753,2019,1990,8828.87447349486,11627.2799177398,0.009539228872294636,1407.0,1750.0,1855.0,1032.260823652066,0.16159346459917123,lower middle,0.005015736721950992,0.009523824948814097,0.010367901221889131
3,ASM,American Samoa,3369.90188,2019,1990,,,,,,,,,high,,,
4,AGO,Angola,2169.94281,2019,1990,5793.08451204045,6602.26921128365,0.00451874886480752,1758.0,2389.0,2630.0,1963.4093254062325,0.09517922944419333,lower middle,,0.006175696408947884,0.009737526251467399
5,ATG,Antigua and Barbuda,3051.24304,2019,1990,15264.3519217204,22908.6392551795,0.014098246654787427,,,,1754.7849806277552,0.4248950484692444,high,,,
6,ARG,Argentina,850.95843,2019,1990,14136.5254005803,22071.7480998394,0.01548195098552263,932.0,1217.0,1383.0,592.1342082608874,0.3041561286831751,upper middle,0.001882233476447448,0.0055621449517215815,0.006770433648332297
7,ARM,Armenia,367.0943,2019,1990,5153.29821050756,14317.5528692827,0.03586433388488164,371.0,677.0,874.0,312.23478884114064,0.14944255783557348,upper middle,0.0005746189800821533,0.01329990244920598,0.01533478637718888
8,ABW,Aruba,3232.42202,2019,1990,30823.482503317,40780.5164846798,0.0096994136072166,,,,986.3596301837471,0.6948543154078171,high,,,
9,AUS,Australia,790.79296,2019,1990,31006.100226642,49379.093333787,0.016175749235966208,777.0,963.0,1128.0,289.0211473946364,0.6345172984410024,high,,0.0011549651063340605,0.001891543982762034
