,ISO3,Country,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,exposure_times_cdd,income_group,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60
0,AFG,Afghanistan,876.75506,2019,2002,1280.46317065778,2079.92186098824,0.028946838096623573,1078.0,1346.0,1526.0,861.809126016621,low,0.02418543747648605,0.030299218102851633,0.032377139158695556
1,ALB,Albania,630.35247,2019,1990,4827.02770509029,13653.182207385,0.036503638229296476,828.0,1119.0,1189.0,527.3915826383843,middle,0.008120515318006172,0.012197493224851419,0.012774864114017737
2,DZA,Algeria,1231.21753,2019,1990,8828.87447349486,11627.2799177398,0.009539228872294636,1407.0,1750.0,1855.0,1032.2608233436308,middle,0.0050157367408858455,0.009523824992694552,0.010367901271586044
3,ASM,American Samoa,3369.90188,2019,1990,,,,,,,,,,,
4,AGO,Angola,2169.94281,2019,1990,5793.08451204045,6602.26921128365,0.00451874886480752,1758.0,2389.0,2630.0,1963.4093251700574,lower-middle,,0.006175696431540034,0.009737526290704235
5,ATG,Antigua and Barbuda,3051.24304,2019,1990,15264.3519217204,22908.6392551795,0.014098246654787427,,,,1754.7849871453625,upper-middle,,,
6,ARG,Argentina,850.95843,2019,1990,14136.5254005803,22071.7480998394,0.01548195098552263,932.0,1217.0,1383.0,592.1342081088533,upper-middle,0.001882233487020324,0.005562144988533024,0.006770433696127842
7,ARM,Armenia,367.0943,2019,1990,5153.29821050756,14317.5528692827,0.03586433388488164,371.0,677.0,874.0,312.2347884591426,middle,0.0005746189783639721,0.01329990247472801,0.015334786420559743
8,ABW,Aruba,3232.42202,2019,1990,30823.482503317,40780.5164846798,0.0096994136072166,,,,986.3596416745056,high,,,
9,AUS,Australia,790.79296,2019,1990,31006.100226642,49379.093333787,0.016175749235966208,777.0,963.0,1128.0,289.0211481942453,high,-0.00011901726273721991,0.0011549651255933213,0.00189154401589553
10,AUT,Austria,247.14882,2019,1990,37494.5604129864,55806.4382499366,0.013808026955007158,446.0,609.0,689.0,106.83344042216329,high,0.0034383604475942686,0.004452469040157281,0.004762355494373649
11,AZE,Azerbaijan,793.054,2019,1990,7616.91027506113,14442.0408668016,0.022306271771311392,951.0,1344.0,1470.0,645.9729042776526,middle,0.005555544875353036,0.010723556441437632,0.011583102558440084
