"Model","Scenario","Region","Variable","Unit","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA GDP 2023","SSP1","Angola","GDP|PPP","billion USD_2017/yr",233.488317667248,254.508497240945,298.293863541849,343.892255890553,405.402778260045,485.217579672217,593.872146623118,734.679247691161,912.566034889635,1120.4460639807,1352.60971435814,1594.86065834731,1832.51700736832,2049.55389499098,2238.36295493671,2390.83624179688
"IIASA GDP 2023","SSP1","Albania","GDP|PPP","billion USD_2017/yr",47.4110750626342,46.1319397587968,50.5434894302069,55.3208058285759,61.7341368256964,66.3252398166104,69.5735357704822,72.2313980764343,75.6657765366643,80.5269477766554,84.1019763450478,86.1366454774319,86.6415496536091,86.2252161420488,85.0409165688997,83.7175351855513
"IIASA GDP 2023","SSP1","United Arab Emirates","GDP|PPP","billion USD_2017/yr",784.698183913743,1010.44506389238,1259.3934678083,1534.15258539849,1750.73502981272,1918.93827003044,2042.75255652871,2182.84865886368,2345.8219364855,2520.91660549775,2652.49239541666,2688.74089078971,2648.71588685523,2570.12760744635,2482.18391446674,2396.87971815144
"IIASA GDP 2023","SSP1","Argentina","GDP|PPP","billion USD_2017/yr",1081.92765621917,1117.82225712053,1255.65261688063,1408.36787522237,1570.62954454822,1743.50021069478,1920.25059873993,2081.5689752754,2248.8853030461,2400.79184279461,2529.85480583055,2615.36753482516,2665.96908882725,2693.42012804177,2706.89628912292,2735.86591255986
"IIASA GDP 2023","SSP1","Armenia","GDP|PPP","billion USD_2017/yr",51.6853896320902,47.5424764016664,49.8854592017937,52.8360108149123,56.8826014336171,61.1355934817318,65.2340548181749,69.5958885285663,74.8985128703339,80.4557964740869,84.8090314574014,88.1276753242439,90.7846876778581,93.2167941349501,95.3750774841728,97.1288331367271
"IIASA GDP 2023","SSP1","Antigua and Barbuda","GDP|PPP","billion USD_2017/yr",2.194934952628,2.4830721114917003,2.87260162140642,3.30411474332653,3.83184319567309,4.37715006889996,4.91096016715009,5.35862199421082,5.81450465379864,6.20140607326428,6.50690038159923,6.71396260557716,6.82830026205978,6.84667130956751,6.86602955533969,6.9166052456814
"IIASA GDP 2023","SSP1","Australia","GDP|PPP","billion USD_2017/yr",1455.10647846814,1550.143457534,1679.4759852082,1810.27076182957,1928.65392382805,2067.52934838581,2224.0077331528,2388.90449359384,2580.36476607853,2781.88731724147,2972.20720213725,3140.17653310523,3296.87642128635,3439.71053288394,3567.49099166786,3672.03790575605
"IIASA GDP 2023","SSP1","Austria","GDP|PPP","billion USD_2017/yr",528.959839653004,554.664800161405,582.68858741734,612.178116307821,646.374031708664,675.249223069432,703.675797664841,727.936328199065,774.652651777647,826.019068962249,877.531921159756,923.472891180165,962.625761255089,993.770537726059,1019.5139368069,1039.31185317661
"IIASA GDP 2023","SSP1","Azerbaijan","GDP|PPP","billion USD_2017/yr",165.984342600039,158.694587359173,172.054175049845,183.403457988255,200.023293647145,221.591491682412,243.124610893676,263.459319009131,285.838899646896,309.5261619929,330.772902727541,346.704672154631,358.949691723164,370.088976065653,379.07333509155,383.705929984419
"IIASA GDP 2023","SSP1","Burundi","GDP|PPP","billion USD_2017/yr",10.5909606924959,14.2404989191788,22.7783784155906,35.7464021264702,55.0778923615,83.4120247401376,123.593130945059,175.55268475853,236.604638341611,302.797169864298,370.192813506582,434.494124920954,491.529980704119,540.478863031609,580.845709274124,612.996508101144
"IIASA GDP 2023","SSP1","Belgium","GDP|PPP","billion USD_2017/yr",639.292101029425,699.730410951859,754.256730994767,806.786464226227,862.791233770548,908.292628453375,950.270524446264,993.918859792864,1060.6516303354,1133.62091248843,1201.77402310721,1264.12783352907,1324.14710636383,1380.33882827922,1430.33326486893,1469.59341178871
"IIASA GDP 2023","SSP1","Benin","GDP|PPP","billion USD_2017/yr",54.5182165627528,65.389368217892,89.8643943054116,123.466985620222,168.983792393807,231.04455656229,312.598473473536,408.995076864885,516.703979775405,630.037044156465,745.302469670944,853.595746998327,949.927478749104,1029.06209435292,1093.10471936687,1143.19093885671
